Order Number,Date,Group Major,Pin,Item Description,Qty,Lot,Invoice
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-092,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-093,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-094,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-095,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-096,595170
889570,5/17/24,WPI,100245-102170,IWPI90,88.184,FL24131A1-097,595170
887361,5/22/24,WPI,100245-102170,IWPI90,793.656,FL24131A1-097,595684
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-002,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-003,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-004,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-005,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-006,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-007,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-008,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-009,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-010,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-011,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-012,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-013,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-014,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-015,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-016,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-017,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-018,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-019,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-020,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-026,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-027,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-028,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-029,595184
884322,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-030,595184
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-031,595175
885526,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24132A1-032,595175
